Model,CV Score,Val Accuracy,Val Precision,Val Recall,Val F1-Score
SVM,0.9910694054480075,0.9910714285714286,0.994047619047619,0.9910714285714286,0.9904761904761904
Random Forest,0.9900793064381064,0.9910714285714286,0.994047619047619,0.9910714285714286,0.9904761904761904
XGBoost,0.9900645288409438,0.9910714285714286,0.994047619047619,0.9910714285714286,0.9904761904761904
k-NN,0.9851041820599968,0.9910714285714286,0.994047619047619,0.9910714285714286,0.9904761904761904
