Model,Type,Accuracy,Precision,Recall,F1-Score,Inference Time (ms),Model Size (MB),Deployment Score
Transfer Learning,Deep Learning,0.9982698961937716,0.9983257059939725,0.9982698961937716,0.9982331919664458,3.6337957250205704,24.466773986816406,0.6522349601229435
Custom CNN,Deep Learning,0.9965397923875432,0.9966641729471594,0.9965397923875432,0.9963553781741212,1.0652907166926506,104.37679290771484,0.7102290978090008
SVM,Classical ML,0.9892857142857143,0.9910846560846561,0.9892857142857143,0.9875033130135171,0.014163766588483537,0.03040599822998047,0.9925240580164596
Random Forest,Classical ML,0.9857142857142858,0.9892989417989418,0.9857142857142858,0.9820271225373267,0.019532442092895508,0.1657238006591797,0.9890834469083811
XGBoost,Classical ML,0.9857142857142858,0.9892989417989418,0.9857142857142858,0.9820271225373267,0.006218467439923967,0.1202249526977539,0.9902698079544197
k-NN,Classical ML,0.9857142857142858,0.9892989417989418,0.9857142857142858,0.9820271225373267,0.014731713703700473,0.5845365524291992,0.9886772852186452
